EventType,Rate
"SEQ(F, D, E)",3484,0.0
"SEQ(F, D, E)",3485,0.0
"SEQ(F, D, E)",3486,0.0
"SEQ(F, D, E)",3487,0.0
"SEQ(F, D, E)",3488,0.0
"SEQ(F, D, E)",3489,0.0
"SEQ(F, D, E)",3490,0.0
"SEQ(F, D, E)",3491,0.0
"SEQ(F, D, E)",3492,0.0
"SEQ(F, D, E)",3493,0.0
"SEQ(F, D, E)",3494,0.0
"SEQ(F, D, E)",3495,0.0
"SEQ(F, D, E)",3496,0.0
"SEQ(F, D, E)",3497,0.0
"SEQ(F, D, E)",3498,0.0
"SEQ(F, D, E)",3499,0.0
"SEQ(F, D, E)",3500,0.0
"SEQ(F, D, E)",3501,0.0
"SEQ(F, D, E)",3502,0.0
"SEQ(F, D, E)",3503,0.0
"SEQ(F, D, E)",3504,0.0
"SEQ(F, D, E)",3505,0.0
"SEQ(F, D, E)",3506,0.0
"SEQ(F, D, E)",3507,0.0
"SEQ(F, D, E)",3508,0.0
"SEQ(F, D, E)",3509,0.0
"SEQ(F, D, E)",3511,0.0
"SEQ(F, D, E)",3512,0.0
"SEQ(F, D, E)",3513,0.0
"SEQ(F, D, E)",3514,0.0
"SEQ(F, D, E)",3515,0.0
"SEQ(F, D, E)",3516,0.0
"SEQ(F, D, E)",3517,0.0
"SEQ(F, D, E)",3518,0.0
"SEQ(F, D, E)",3519,0.0
